INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,UOR_DESC,CRIME_TYPE,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,CITY,ZIP_CODE,ID,ObjectId
80-09-039730,6/2/09 1:18 AM,6/2/09 1:18 AM,CARRYING A CONCEALED DEADLY WEAPON,WEAPONS,520,PART II,COMPLETED,1ST DIVISION,112,SCHOOL - ELEMENTARY / SECONDARY,S 19TH ST / CONGRESS ST                                     ,LOUISVILLE,40203,201949,1
80-09-057282,8/2/09 10:16 PM,8/2/09 9:56 PM,RECEIVING STOLEN PROPERTY U/$500 MISD,THEFT/LARCENY,280,PART II,COMPLETED,2ND DIVISION,225,HIGHWAY / ROAD / ALLEY,S 13TH ST / ALGONQUIN PKY                                   ,LOUISVILLE,40210,239997,2
80-09-083722,11/3/09 10:44 PM,11/3/09 10:44 PM,POSS OF MARIJUANA,DRUGS/ALCOHOL VIOLATIONS,35A,PART II,COMPLETED,8TH DIVISION,811,HIGHWAY / ROAD / ALLEY,BROWNSBORO RD / GLASGOW BLVD                                ,LOUISVILLE,40241,308404,3
80-08-099877,1/1/09 6:14 AM,12/31/08 12:07 PM,CRIMINAL MISCHIEF-2ND DEGREE,VANDALISM,290,PART II,COMPLETED,3RD DIVISION,323,PARKING LOT / GARAGE,10800 BLOCK JUNEBERRY CT                                    ,LOUISVILLE,40272,378364,4
80-08-099898,1/1/09 8:28 AM,12/30/08 9:00 PM,CRIMINAL MISCHIEF - 1ST DEGREE,VANDALISM,290,PART II,COMPLETED,6TH DIVISION,613,PARKING LOT / GARAGE,1300 BLOCK GARDINER LN                                      ,LOUISVILLE,40213,378370,5
80-08-099914,1/1/09 10:06 AM,12/31/08 11:03 AM,THEFT BY UNLAWFUL TAKING/DISP-AUTO - FELONY CLASS D,MOTOR VEHICLE THEFT,240,PART I,COMPLETED,1ST DIVISION,112,PARKING LOT / GARAGE,600 BLOCK S 29TH ST                                         ,LOUISVILLE,40211,378373,6
80-08-099915,1/1/09 10:01 AM,12/30/08 10:00 AM,THEFT BY UNLAWFUL TAKING/DISP-AUTO - FELONY CLASS D,MOTOR VEHICLE THEFT,240,PART I,COMPLETED,8TH DIVISION,811,PARKING LOT / GARAGE,100 BLOCK CHARTER OAKS DR                                   ,LOUISVILLE,40241,378375,7
80-09-000010,1/1/09 12:05 AM,1/1/09 12:02 AM,CRIMINAL MISCHIEF-3RD DEGREE,VANDALISM,290,PART II,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME,1800 BLOCK DATE ST                                          ,LOUISVILLE,40210,378383,8
80-09-000017,1/1/09 1:13 AM,1/1/09 1:13 AM,ASSAULT - 4TH DEGREE (MINOR INJURY),ASSAULT,13B,PART II,COMPLETED,3RD DIVISION,316,HIGHWAY / ROAD / ALLEY,13300 BLOCK HORNCASTLE WAY                                  ,LOUISVILLE,40272,378384,9
80-09-000017,1/1/09 1:13 AM,1/1/09 1:13 AM,CRIMINAL MISCHIEF-3RD DEGREE,VANDALISM,290,PART II,COMPLETED,3RD DIVISION,316,RESIDENCE / HOME,13300 BLOCK HORNCASTLE WAY                                  ,LOUISVILLE,40272,378385,10
