ObjectId,INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE
1,80-19-000105,2019/01/01 11:22:00,2019/01/01 02:00:00,DRUGS/ALCOHOL VIOLATIONS,POSS OF MARIJUANA,35A,PART II,COMPLETED,8TH DIVISION,815,RESIDENCE / HOME                             ,8200 BLOCK NOTTINGHAM PKY                                   ,HURSTBOURNE,40222
2,80-19-000107,2019/01/01 11:43:00,2019/01/01 11:30:00,ASSAULT,ASSAULT - 4TH DEGREE (MINOR INJURY),13B,PART II,COMPLETED,1ST DIVISION,135,HOMELESS SHELTER / MISSION                   ,400 BLOCK E JEFFERSON ST                                    ,LOUISVILLE,40202
3,80-19-000108,2019/01/01 12:09:00,2019/01/01 11:51:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,6TH DIVISION,625,OTHER / UNKNOWN                              ,2900 BLOCK KLONDIKE LN                                      ,LOUISVILLE,40218
4,80-19-500001,2019/01/01 12:03:00,2018/12/31 20:00:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,3RD DIVISION,315,RESIDENCE / HOME                             ,8200 BLOCK TERRY RD                                         ,LOUISVILLE,40258
5,80-19-000110,2019/01/01 12:19:00,2019/01/01 08:30:00,MOTOR VEHICLE THEFT,"TBUT OR DISP AUTO > $500 BUT < $10,000",240,PART I,COMPLETED,6TH DIVISION,613,RESIDENCE / HOME                             ,3500 BLOCK FLEETWOOD DR                                     ,LOUISVILLE,40218
6,80-19-000111,2019/01/01 17:00:00,2019/01/01 11:00:00,OTHER,NON-CRIMINAL DEATH (NATURAL CAUSES),90Z,PART II,COMPLETED,5TH DIVISION,521,RESIDENCE / HOME                             ,0 BLOCK WINIFREDE LN                                        ,LOUISVILLE,40206
7,80-19-000112,2019/01/01 11:48:00,2018/12/31 23:30:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,8TH DIVISION,815,RESIDENCE / HOME                             ,8200 BLOCK NOTTINGHAM PKY                                   ,HURSTBOURNE,40222
8,80-19-000113,2019/01/01 12:07:00,2018/12/31 17:00:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,3RD DIVISION,322,RESIDENCE / HOME                             ,5300 BLOCK ALPINE WAY                                       ,LOUISVILLE,40214
9,80-19-000114,2019/01/01 12:38:00,2018/12/31 19:00:00,VEHICLE BREAK-IN/THEFT,"TBUT OR DISP CONTENTS FROM VEH $500 OR > BUT < $10,000",23F,PART I,COMPLETED,4TH DIVISION,412,HIGHWAY / ROAD / ALLEY                       ,1000 BLOCK LAMPTON ALY                                      ,LOUISVILLE,40204
10,80-19-000115,2019/01/01 12:34:00,2019/01/01 03:00:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,8TH DIVISION,815,RESIDENCE / HOME                             ,300 BLOCK CANTON CT                                         ,HURSTBOURNE,40222
11,80-19-000115,2019/01/01 12:34:00,2019/01/01 03:00:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,8TH DIVISION,815,RESIDENCE / HOME                             ,300 BLOCK CANTON CT                                         ,HURSTBOURNE,40222
12,80-19-000117,2019/01/01 12:23:00,2019/01/01 12:15:00,ROBBERY,ROBBERY - 1ST DEGREE,120,PART I,COMPLETED,2ND DIVISION,234,RESIDENCE / HOME                             ,1600 BLOCK WILLIAM E SUMMERS III AVE                        ,LOUISVILLE,40211
13,80-19-000117,2019/01/01 12:23:00,2019/01/01 12:15:00,ASSAULT,ASSAULT - 2ND DEGREE,13A,PART I,COMPLETED,2ND DIVISION,234,RESIDENCE / HOME                             ,1600 BLOCK WILLIAM E SUMMERS III AVE                        ,LOUISVILLE,40211
14,80-19-000117,2019/01/01 12:23:00,2019/01/01 12:15:00,BURGLARY,BURGLARY - 2ND DEGREE,220,PART I,COMPLETED,2ND DIVISION,234,RESIDENCE / HOME                             ,1600 BLOCK WILLIAM E SUMMERS III AVE                        ,LOUISVILLE,40211
15,80-19-000116,2019/01/01 12:45:00,2018/12/31 17:45:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,1800 BLOCK CARL CT                                          ,LOUISVILLE,40215
16,80-19-000119,2019/01/01 13:12:00,2018/12/30 14:30:00,OTHER,PROPERTY LOST OR ABANDONED NON CRIMINAL,90Z,PART II,COMPLETED,1ST DIVISION,135,GOVERNMENT / PUBLIC BUILDING                 ,700 BLOCK E MUHAMMAD ALI BLVD                               ,LOUISVILLE,40202
17,80-19-000120,2019/01/01 13:57:00,2019/01/01 12:56:00,DRUGS/ALCOHOL VIOLATIONS,POSS CONT SUB-1ST DEGREE-1ST OFFENSE-DRUG UNSPECIFIED,35A,PART II,COMPLETED,6TH DIVISION,612,PARKING LOT / GARAGE                         ,GRADE LN / PRESTON HWY                                      ,LOUISVILLE,40213
18,80-19-000120,2019/01/01 13:57:00,2019/01/01 12:56:00,DRUGS/ALCOHOL VIOLATIONS,POSS OF MARIJUANA,35A,PART II,COMPLETED,6TH DIVISION,612,PARKING LOT / GARAGE                         ,GRADE LN / PRESTON HWY                                      ,LOUISVILLE,40213
19,80-19-000121,2019/01/01 14:00:00,2018/12/31 19:00:00,VANDALISM,CRIMINAL MISCHIEF-3RD DEGREE,290,PART II,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,4700 BLOCK S RUTLAND AVE                                    ,LOUISVILLE,40215
