INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE,ObjectId
80-20-000117,2020-01-01 13:50:00,2019-12-31 03:30:00,FRAUD,"FRAUD USE OF CREDIT CARD AFTER REPT LOST/STOLEN U/$10,000",26B,PART II,COMPLETED,4TH DIVISION,435,SERVICE / GAS STATION                        ,4100 BLOCK TAYLOR BLVD                                      ,LOUISVILLE,40215,1
80-20-000292,2020-01-02 10:45:00,2019-12-31 18:00:00,THEFT/LARCENY,"TBUT OR DISP ALL OTHERS > $500 BUT < $10,000",23H,PART I,COMPLETED,6TH DIVISION,613,NON-ATTACHED RESD GARAGE/SHED/BULD           ,5200 BLOCK RUSSETT BLVD                                     ,LOUISVILLE,40218,2
80-19-096135,2020-01-01 00:26:00,2019-12-31 23:30:00,VEHICLE BREAK-IN/THEFT,"TBUT OR DISP CONTENTS FROM VEH $500 OR > BUT < $10,000",23F,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,S 16TH ST / W CHESTNUT ST                                   ,LOUISVILLE,40203,3
80-20-000234,2020-01-01 23:57:00,2020-01-01 03:00:00,VANDALISM,CRIMINAL MISCHIEF-2ND DEGREE,290,PART II,COMPLETED,4TH DIVISION,424,HIGHWAY / ROAD / ALLEY                       ,2700 BLOCK S 4TH ST                                         ,LOUISVILLE,40208,4
80-20-000294,2020-01-02 11:02:00,2019-12-31 12:00:00,VEHICLE BREAK-IN/THEFT,"TBUT OR DISP CONTENTS FROM VEH $500 OR > BUT < $10,000",23F,PART I,COMPLETED,7TH DIVISION,736,DOCK/WHARF/FREIGHT/MODAL TERMINAL            ,1800 BLOCK SOUTH PARK RD                                    ,LOUISVILLE,40219,5
80-19-096138,2020-01-01 00:13:00,2019-12-31 22:59:00,ASSAULT,HARASSMENT - PHYSICAL CONTACT - NO INJURY,13B,PART II,COMPLETED,5TH DIVISION,513,RESIDENCE / HOME                             ,1800 BLOCK RADNOR AVE                                       ,LOUISVILLE,40205,6
80-20-000237,2020-01-02 00:26:00,2020-01-01 23:30:00,OTHER,MISSING PERSONS,90Z,PART II,COMPLETED,2ND DIVISION,223,RESIDENCE / HOME                             ,3200 BLOCK VIRGINIA AVE                                     ,LOUISVILLE,40211,7
80-20-000432,2020-01-02 17:50:00,2020-01-02 17:45:00,DRUGS/ALCOHOL VIOLATIONS,POSS OF MARIJUANA,35A,PART II,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,S 28TH ST / W BROADWAY                                      ,LOUISVILLE,40211,8
80-20-000358,2020-01-02 14:24:00,2019-09-01 14:24:00,ASSAULT,KNOWINGLY EXPLOIT ADULT BY PERSON O/$300,90F,PART II,COMPLETED,4TH DIVISION,436,RESIDENCE / HOME                             ,4500 BLOCK PICADILLY AVE                                    ,LOUISVILLE,40215,9
80-20-000180,2020-01-01 17:43:00,2019-12-31 08:00:00,VEHICLE BREAK-IN/THEFT,TBUT OR DISP CONTENTS FROM VEH < $500,23F,PART I,ATTEMPTED,4TH DIVISION,435,OTHER RESIDENCE (APARTMENT/CONDO)            ,4900 BLOCK MANSLICK RD                                      ,LOUISVILLE,40216,10
