incident_number,date_reported,date_occurred,badge_id,offense_classification,offense_code_name,nibrs_code,nibrs_group_name,was_offense_completed,lmpd_division,lmpd_beat,location_category,block_address,city,zip_code,ObjectId
LMPD25144947,12/5/2025 5:28:00 PM,11/16/2024 5:00:00 AM,8701,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,4TH DIVISION,424,RESIDENCE/HOME,500 BLOCK LONGFIELD AVE,LOUISVILLE,40215,1
LMPD25140113,11/24/2025 4:22:00 AM,7/9/2024 4:00:00 AM,8631,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,8TH DIVISION,824,RESIDENCE/HOME,100 BLOCK LA FONTENAY DR,DOUGLASS HILLS,40223,2
LMPD25139843,11/23/2025 2:37:00 PM,11/15/2024 9:00:00 PM,8560,14 AUTO THEFT,"TBUT OR DISP AUTO $1,000 < $10,000 514.030 24112 240",240,A,YES,2ND DIVISION,223,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,1300 BLOCK S 26TH ST,LOUISVILLE,40210,3
LMPD25138669,11/20/2025 8:54:00 PM,1/1/2024 5:01:00 AM,8646,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,1ST DIVISION,111,RESIDENCE/HOME,2400 BLOCK NORTHWESTERN PKWY,LOUISVILLE,40212,4
LMPD25138625,11/20/2025 7:29:00 PM,10/29/2024 4:00:00 PM,8544,23 THEFT OTHER,"THEFT BY DECEPTION INCLUDING COLD CHECKS $1,000 < $10,000 514.040(8)(b) 71287 23H",23H,A,YES,3RD DIVISION,323,RESIDENCE/HOME,200 BLOCK ANGELETTA WAY,LOUISVILLE,40214,5
LMPD25138525,11/20/2025 3:53:00 PM,8/20/2024 4:01:00 AM,8358,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,6TH DIVISION,625,OTHER RESIDENCE (APARTMENT/CONDO),3100 BLOCK CHURCH WAY,LOUISVILLE,40220,6
LMPD25137634,11/18/2025 8:40:00 PM,7/1/2024 4:00:00 AM,8643,29 FRAUD IMPERSONATION,THEFT OF IDENTITY OF ANOTHER WITHOUT CONSENT 514.160 23310 26C,26C,A,YES,2ND DIVISION,225,RESIDENCE/HOME,1400 BLOCK STANDARD VILLAGE CIR,LOUISVILLE,40210,7
LMPD25137499,11/18/2025 3:00:00 PM,9/1/2024 4:00:00 AM,4354,19 THEFT FR BLDG,"TBUT OR DISP FROM BUILDING $1,000 < $10,000 514.030 24162 23D",23D,A,YES,6TH DIVISION,625,RESIDENCE/HOME,3100 BLOCK DELL BROOKE AVE,LOUISVILLE,40220,8
LMPD25137160,11/17/2025 7:27:00 PM,11/2/2024 4:00:00 AM,8584,23 THEFT OTHER,"THEFT BY DECEPTION INCLUDING COLD CHECKS $10,000 OR MORE 514.040(8)(c) 71289 23H",23H,A,YES,2ND DIVISION,223,RESIDENCE/HOME,2700 BLOCK WOODLAND AVE,LOUISVILLE,40211,9
LMPD25133838,11/10/2025 3:22:00 PM,11/1/2024 4:00:00 AM,5237,12 INTIMIDATION,HARASSMENT (NO PHYSICAL CONTACT) 525.070 02405 13C,13C,A,YES,4TH DIVISION,412,RESIDENCE/HOME,700 BLOCK E ORMSBY AVE,LOUISVILLE,40203,10
LMPD25132715,11/7/2025 4:12:00 PM,12/29/2024 5:00:00 AM,4354,23 THEFT OTHER,TBUT OR DISP FIREARM 514.030 23100 23H,23H,A,YES,7TH DIVISION,711,RESIDENCE/HOME,9800 BLOCK MARY DELL LN,LOUISVILLE,40291,11
LMPD25130069,11/1/2025 6:09:00 PM,11/1/2024 4:00:00 AM,5067,13 BURGLARY,BURGLARY - 3RD DEGREE 511.040 22062 220,220,A,YES,3RD DIVISION,323,RENTAL STORAGE FACILITY,8600 BLOCK NATIONAL TPKE,LOUISVILLE,40118,12
LMPD25129939,11/1/2025 8:00:00 AM,11/1/2024 8:00:00 AM,5427,12 INTIMIDATION,TERRORISTIC THREATENING 3RD DEGREE 508.080 00822 13C,13C,A,YES,3RD DIVISION,316,RESIDENCE/HOME,13000 BLOCK ASHLAWN DR,LOUISVILLE,40272,13
LMPD25128095,10/28/2025 12:33:00 PM,10/1/2024 4:00:00 AM,5067,12 INTIMIDATION,TERRORISTIC THREATENING 3RD DEGREE 508.080 00822 13C,13C,A,YES,3RD DIVISION,323,RESIDENCE/HOME,10700 BLOCK JEFFERSON HILL RD,LOUISVILLE,40118,14
LMPD25128095,10/28/2025 12:33:00 PM,10/1/2024 4:00:00 AM,5067,56 ALL OTHER OFFENSES,HARASSING COMMUNICATIONS 525.080 02402 90Z,90Z,B,NO,3RD DIVISION,323,RESIDENCE/HOME,10700 BLOCK JEFFERSON HILL RD,LOUISVILLE,40118,15
LMPD25126195,10/23/2025 7:58:00 PM,9/1/2024 4:00:00 PM,8544,24 VANDALISM,CRIMINAL MISCHIEF - 1ST DEGREE 512.020 01401 290,290,A,YES,6TH DIVISION,625,AUTO DEALERSHIP NEW/USED,3400 BLOCK BARDSTOWN RD,LOUISVILLE,40218,16
LMPD25126195,10/23/2025 7:58:00 PM,9/1/2024 4:00:00 PM,8544,19 THEFT FR BLDG,"TBUT OR DISP FROM BUILDING $1,000 < $10,000 514.030 24162 23D",23D,A,YES,6TH DIVISION,625,AUTO DEALERSHIP NEW/USED,3400 BLOCK BARDSTOWN RD,LOUISVILLE,40218,17
