NAME,total_population,median_age,median_household_income,population_below_poverty,median_home_value,rent_burden_50pct_plus,no_schooling,associates_degree,bachelors_degree,masters_degree,professional_degree,unemployed_population,single_parent_households,moved_past_year,state,zip_code,year,poverty_rate,pct_bachelors_plus,unemployment_rate,mobility_rate
ZCTA5 40202,6429,34.4,16466,1889,290600,462,21,178,623,193,139,299,359,3434,21,40202,2012,29.38,14.85,4.65,53.41
ZCTA5 40203,19270,33.3,16036,9733,80700,1694,178,715,860,358,150,1941,2479,14874,21,40203,2012,50.51,7.1,10.07,77.19
ZCTA5 40204,14480,38.3,46012,2078,162500,628,38,492,2716,1639,293,716,569,11194,21,40204,2012,14.35,32.1,4.94,77.31
ZCTA5 40205,23483,42.4,66624,1742,235400,591,60,953,5375,2847,710,542,857,19804,21,40205,2012,7.42,38.04,2.31,84.33
ZCTA5 40206,18474,39.5,43817,2642,171000,885,69,855,3740,1962,469,750,834,14804,21,40206,2012,14.3,33.4,4.06,80.13
ZCTA5 40207,28989,41.6,67507,2524,246600,790,44,911,7300,3060,398,938,1091,24547,21,40207,2012,8.71,37.11,3.24,84.68
ZCTA5 40208,13727,26.3,25533,4502,87700,1293,60,370,858,480,213,839,950,10160,21,40208,2012,32.8,11.3,6.11,74.01
ZCTA5 40209,683,37.1,37009,316,77200,51,25,5,35,12,0,46,35,360,21,40209,2012,46.27,6.88,6.73,52.71
ZCTA5 40210,16230,29.8,19742,7314,70700,1124,225,646,584,190,0,1566,2296,12932,21,40210,2012,45.06,4.77,9.65,79.68
ZCTA5 40211,22770,34.8,22461,8552,75000,1964,144,795,968,312,37,2157,3444,19601,21,40211,2012,37.56,5.78,9.47,86.08
ZCTA5 40212,18628,34.6,26843,6357,68700,1341,268,818,441,265,0,1702,2615,14669,21,40212,2012,34.13,3.79,9.14,78.75
ZCTA5 40213,16008,36.6,38051,3715,113700,889,165,723,1175,502,47,1145,1245,13010,21,40213,2012,23.21,10.77,7.15,81.27
ZCTA5 40214,44880,38.7,40207,7949,120300,1913,628,1789,3261,1305,123,2874,2679,38576,21,40214,2012,17.71,10.45,6.4,85.95
ZCTA5 40215,23450,32.1,26628,8194,78200,1769,304,749,791,277,31,2617,2545,19642,21,40215,2012,34.94,4.69,11.16,83.76
ZCTA5 40216,40697,39.4,39445,7080,112500,1510,397,2109,1947,1045,40,2719,3360,35767,21,40216,2012,17.4,7.45,6.68,87.89
ZCTA5 40217,12102,39.4,39846,2282,123800,478,74,524,1632,1025,49,685,749,10077,21,40217,2012,18.86,22.36,5.66,83.27
ZCTA5 40218,29441,35.8,34257,6267,124500,1805,128,1414,3065,1555,41,1587,2205,24498,21,40218,2012,21.29,15.83,5.39,83.21
ZCTA5 40219,38383,35.4,39699,7507,122300,1482,456,1991,2326,598,139,2313,2731,32252,21,40219,2012,19.56,7.98,6.03,84.03
